code,Province,Infected,Active,Recovered,Deaths
1,Ha Noi,242,5,236,0
2,Ha Giang,2,1,1,0
4,Cao Bang,0,0,0,0
6,Bac Kan,0,0,0,0
8,Tuyen Quang,0,0,0,0
10,Lao Cai,2,0,2,0
11,Dien Bien,3,1,2,0
12,Lai Chau,1,0,1,0
14,Son La,0,0,0,0
15,Yen Bai,0,0,0,0
17,Hoa Binh,23,0,23,0
19,Thai Nguyen,2,0,2,0
20,Lang Son,4,0,4,0
22,Quang Ninh,84,13,71,0
24,Bac Giang,22,0,22,0
25,Phu Tho,3,0,3,0
26,Vinh Phuc,19,0,19,0
27,Bac Ninh,17,2,15,0
30,Hai Duong,762,94,668,0
31,Hai Phong,9,5,4,0
33,Hung Yen,34,0,34,0
34,Thai Binh,38,0,38,0
35,Ha Nam,8,0,8,0
36,Nam Dinh,15,0,15,0
37,Ninh Binh,32,0,32,0
38,Thanh Hoa,24,0,24,0
40,Nghe An,0,0,0,0
42,Ha Tinh,4,0,4,0
44,Quang Binh,0,0,0,0
45,Quang Tri,7,0,6,1
46,Thua Thien Hue,2,0,2,0
48,Da Nang,428,3,391,31
49,Quang Nam,109,1,105,3
51,Quang Ngai,7,0,7,0
52,Binh Dinh,1,0,1,0
54,Phu Yen,26,0,26,0
56,Khanh Hoa,89,15,74,0
58,Ninh Thuan,12,9,3,0
60,Binh Thuan,10,0,10,0
62,Kon Tum,0,0,0,0
64,Gia Lai,27,4,23,0
66,Dak Lak,3,0,3,0
67,Dak Nong,0,0,0,0
68,Lam Dong,0,0,0,0
70,Binh Phuoc,0,0,0,0
72,Tay Ninh,25,11,14,0
74,Binh Duong,42,3,39,0
75,Dong Nai,22,3,19,0
77,Ba Ria - Vung Tau,81,1,80,0
79,Ho Chi Minh,221,10,211,0
80,Long An,5,0,5,0
82,Tien Giang,5,1,4,0
83,Ben Tre,14,12,2,0
84,Tra Vinh,8,0,8,0
86,Vinh Long,7,0,7,0
87,Dong Thap,27,2,25,0
89,An Giang,0,0,0,0
91,Kien Giang,20,19,1,0
92,Can Tho,10,0,10,0
93,Hau Giang,0,0,0,0
94,Soc Trang,0,0,0,0
95,Bac Lieu,52,0,52,0
96,Ca Mau,5,4,1,0
